application_id,target,mobile_number_valid,email_valid,fraud_flag,gender,marital_status,employment_type,industry,residential_status,region,application_channel,device_type,internal_product_flags,length_of_employment,monthly_income,residential_tenure,age,number_of_dependents,previous_applications,credit_history_months,payment_history_on_time_ratio,days_past_due_max,account_status,credit_limits_total,outstanding_balances_total,utilization_ratio,overdue_amounts_total,risk_grade,inquiry_count_6m,inquiry_amount_6m,num_open_accounts,num_closed_accounts,avg_account_age_months,max_credit_limit_single_account,recent_delinquency_flag
APP0000001,0,1,1,0,M,Single,Salaried,BPO,Company-Provided,NCR,Agent,Web,CC:0|SAV:1|PAY:0,2.4,31364,6.6,30,0,0,64,0.616,15,Delinquent,58778,14622,0.249,11698,C,1,21159,5,1,31,12678,0
APP0000002,0,1,1,0,F,Single,Salaried,IT,Family,NCR,Online,Android,CC:0|SAV:0|PAY:1,10.6,56764,5.8,39,1,1,44,0.37,15,Delinquent,275486,73563,0.267,6193,B,0,73553,5,5,26,154703,0
APP0000003,0,1,1,0,F,Married,Salaried,Government,Owned,NCR,Branch,Web,CC:1|SAV:1|PAY:0,0.9,65953,7.0,25,3,0,41,0.364,30,Delinquent,105029,9700,0.092,7760,D,2,25807,4,2,25,61383,1
APP0000004,0,1,1,0,F,Single,Salaried,Services,Mortgaged,NCR,Branch,Unknown,CC:0|SAV:1|PAY:1,6.5,43048,4.0,36,1,2,41,0.816,0,Current,64099,20295,0.317,0,B,1,13817,5,2,25,36085,0
APP0000005,0,1,0,0,M,Married,Salaried,Services,Owned,Davao,Online,Unknown,CC:0|SAV:1|PAY:0,0.1,33387,9.2,37,2,2,111,0.412,90,Delinquent,225390,98037,0.435,9827,D,0,29731,6,5,56,62430,1
APP0000006,0,1,1,0,M,Single,Contractual,Services,Family,NCR,Branch,Web,CC:1|SAV:1|PAY:0,8.3,27936,6.9,39,1,1,74,0.86,0,Current,135557,63764,0.47,0,B,2,53343,4,6,41,45167,0
APP0000007,0,1,1,0,M,Married,Salaried,Services,Family,Others,Branch,Android,CC:1|SAV:1|PAY:0,3.6,56662,8.0,38,0,1,35,0.859,0,Current,32429,7871,0.243,0,B,2,48348,4,4,31,18883,0
APP0000008,0,1,1,0,F,Married,Self-Employed,Government,Mortgaged,Central Luzon,Online,iOS,CC:1|SAV:1|PAY:0,2.6,41787,3.8,24,3,1,66,0.746,0,Current,75488,63190,0.837,0,B,0,24967,5,4,46,18311,0
APP0000009,0,1,1,0,F,Single,Self-Employed,BPO,Rented,Cebu,Branch,Web,CC:1|SAV:1|PAY:1,4.9,44914,3.0,21,2,0,55,0.893,0,Current,119966,61641,0.514,0,B,1,17683,5,5,28,51984,0
APP0000010,0,1,0,0,F,Single,Self-Employed,Services,Owned,NCR,Agent,Android,CC:0|SAV:0|PAY:0,0.3,20970,2.7,34,5,1,11,0.736,0,Current,22501,5253,0.233,0,B,0,84381,2,0,2,8870,0
